10014024,Charduanti Union Centre,10,Barisal,4,Barguna,0,Patharghata,Pathargatha,0,CHAR DUANTI,u10014024@union.dghs.gov.bd
10014025,Kakchira Union Centre,10,Barisal,4,Barguna,0,Patharghata,Pathargatha,23,Kakchira,u10014025@union.dghs.gov.bd
10014026,Kanthaltali Union Centre,10,Barisal,4,Barguna,0,Patharghata,Pathargatha,47,Kanthaltali,u10014026@union.dghs.gov.bd
10014027,Nachna Para Union Centre,10,Barisal,4,Barguna,0,Patharghata,Pathargatha,59,Nachna Para,u10014027@union.dghs.gov.bd
10014028,Patharghata Union Centre,10,Barisal,4,Barguna,0,Patharghata,Pathargatha,71,Patharghata,u10014028@union.dghs.gov.bd
10014029,Raihanpur Union Centre,10,Barisal,4,Barguna,0,Patharghata,Pathargatha,83,Raihanpur,u10014029@union.dghs.gov.bd
10014043,Baisari Union Centre,10,Barisal,6,Barisal,0,Banari Para,Banaripara,21,Baisari,u10014043@union.dghs.gov.bd
10014044,Banaripara Union Centre,10,Barisal,6,Barisal,0,Banari Para,Banaripara,10,Banaripara,u10014044@union.dghs.gov.bd
10014045,Bisarkandi Union Centre,10,Barisal,6,Barisal,0,Banari Para,Banaripara,31,Bisarkandi,u10014045@union.dghs.gov.bd
10014046,Chakhar Union Centre,10,Barisal,6,Barisal,0,Banari Para,Banaripara,42,Chakhar,u10014046@union.dghs.gov.bd
10014047,Iluhar Union Centre,10,Barisal,6,Barisal,0,Banari Para,Banaripara,52,Iluhar,u10014047@union.dghs.gov.bd
10014048,Saliabakpur Union Centre,10,Barisal,6,Barisal,0,Banari Para,Banaripara,0,SALIA BAKPUR,u10014048@union.dghs.gov.bd
10014049,Udaykati Union Centre,10,Barisal,6,Barisal,0,Banari Para,Banaripara,84,Udaykati,u10014049@union.dghs.gov.bd
10014050,Chandpur Union Centre,10,Barisal,6,Barisal,0,Barisal Sadar (Kotwali),Barisal Sadar,0,Chandpur,u10014050@union.dghs.gov.bd
10014051,Chandramohan Union Centre,10,Barisal,6,Barisal,0,Barisal Sadar (Kotwali),Barisal Sadar,0,Chandramohan,u10014051@union.dghs.gov.bd
10014052,Charbaria Union Centre,10,Barisal,6,Barisal,0,Barisal Sadar (Kotwali),Barisal Sadar,0,Charbaria,u10014052@union.dghs.gov.bd
10014053,Charkowa Union Centre,10,Barisal,6,Barisal,0,Barisal Sadar (Kotwali),Barisal Sadar,0,Charkowa,u10014053@union.dghs.gov.bd
10014054,Jagua Union Centre,10,Barisal,6,Barisal,0,Barisal Sadar (Kotwali),Barisal Sadar,0,Jagua,u10014054@union.dghs.gov.bd
10014055,Kashipur Union Centre,10,Barisal,6,Barisal,0,Barisal Sadar (Kotwali),Barisal Sadar,0,Kashipur,u10014055@union.dghs.gov.bd
10014056,Roypasha karapur Union Centre,10,Barisal,6,Barisal,0,Barisal Sadar (Kotwali),Barisal Sadar,0,Roypasha karapur,u10014056@union.dghs.gov.bd
10014057,Tungibaria Union Centre,10,Barisal,6,Barisal,0,Barisal Sadar (Kotwali),Barisal Sadar,0,Tungibaria,u10014057@union.dghs.gov.bd
